journey_id,touchpoint_sequence,num_touchpoints,converted,revenue
1,Direct;Direct,2,0,0.0
2,Direct,1,0,0.0
3,Paid Search;Organic Search;Direct,3,0,0.0
4,Organic Search,1,0,0.0
5,Organic Search,1,0,0.0
6,Organic Search;Paid Search,2,0,0.0
7,Paid Search;Display;Organic Search,3,0,0.0
8,Paid Search;Email,2,0,0.0
9,Display;Display;Social Media;Social Media;Display;Direct,6,0,0.0
10,Paid Search,1,0,0.0
11,Display;Direct,2,0,0.0
12,Direct,1,0,0.0
13,Organic Search;Paid Search;Email;Email;Email;Email;Paid Search;Social Media;Paid Search;Organic Search;Paid Search,11,0,0.0
14,Social Media,1,0,0.0
15,Direct;Paid Search;Email,3,0,0.0
16,Email;Social Media;Paid Search;Organic Search,4,0,0.0
17,Organic Search,1,1,9.1
18,Social Media,1,0,0.0
19,Paid Search,1,1,51.99
20,Organic Search;Organic Search;Social Media;Email;Paid Search,5,1,22.39
21,Social Media,1,0,0.0
22,Paid Search;Social Media;Display;Paid Search;Organic Search,5,0,0.0
23,Organic Search;Social Media,2,1,9.55
24,Paid Search,1,0,0.0
25,Paid Search;Paid Search,2,0,0.0
26,Direct;Paid Search,2,0,0.0
27,Display;Social Media;Email;Direct,4,0,0.0
28,Social Media;Paid Search;Email;Email;Paid Search,5,0,0.0
29,Display;Organic Search,2,0,0.0
30,Paid Search;Paid Search;Direct;Organic Search;Display;Email;Display,7,1,95.08
31,Paid Search,1,1,43.9
32,Social Media,1,0,0.0
33,Direct;Email;Paid Search;Display;Organic Search;Direct,6,0,0.0
34,Organic Search,1,0,0.0
35,Display;Display;Direct,3,0,0.0
36,Organic Search;Paid Search;Social Media;Display;Organic Search,5,0,0.0
37,Social Media;Email;Email;Social Media;Email;Social Media;Display;Email;Direct,9,1,51.3
38,Direct;Paid Search;Direct;Social Media;Direct;Direct;Organic Search;Social Media,8,1,12.67
39,Paid Search,1,0,0.0
40,Paid Search;Organic Search,2,1,38.12
41,Organic Search;Email;Social Media;Display;Direct,5,1,45.29
42,Organic Search;Email;Email;Email;Email;Organic Search,6,1,16.33
43,Organic Search,1,0,0.0
44,Organic Search;Paid Search,2,0,0.0
45,Social Media;Social Media;Email;Display;Paid Search,5,0,0.0
46,Paid Search,1,0,0.0
47,Direct;Display;Email;Organic Search,4,0,0.0
48,Paid Search;Paid Search,2,0,0.0
49,Display,1,0,0.0
50,Organic Search;Direct;Paid Search,3,0,0.0
51,Display;Social Media,2,0,0.0
52,Paid Search,1,0,0.0
53,Email,1,0,0.0
54,Social Media,1,0,0.0
55,Social Media,1,0,0.0
56,Direct;Direct,2,0,0.0
57,Organic Search;Email;Social Media;Social Media;Direct;Social Media;Social Media,7,1,26.04
58,Direct,1,0,0.0
59,Display;Email;Email;Paid Search,4,0,0.0
60,Paid Search,1,0,0.0
61,Direct;Social Media;Email;Social Media,4,1,31.77
62,Organic Search;Direct,2,0,0.0
63,Social Media;Organic Search;Paid Search;Display;Direct;Paid Search,6,1,139.58
64,Display;Display,2,0,0.0
65,Organic Search;Paid Search;Social Media;Direct,4,0,0.0
66,Social Media;Paid Search;Email;Email;Paid Search;Paid Search,6,0,0.0
67,Paid Search;Email;Direct,3,1,26.2
68,Organic Search;Paid Search;Email;Social Media;Social Media;Organic Search;Paid Search;Social Media;Paid Search;Social Media,10,0,0.0
69,Organic Search,1,0,0.0
70,Direct;Display;Social Media,3,1,50.42
71,Direct,1,0,0.0
72,Direct;Organic Search,2,0,0.0
73,Email;Email;Organic Search,3,0,0.0
74,Paid Search,1,0,0.0
75,Organic Search;Paid Search,2,0,0.0
76,Organic Search;Organic Search;Organic Search;Paid Search,4,1,61.52
77,Direct;Direct,2,0,0.0
78,Social Media,1,0,0.0
79,Organic Search;Social Media;Social Media;Display;Paid Search;Organic Search;Email;Direct;Direct,9,1,105.78
80,Organic Search;Social Media;Paid Search;Direct;Email;Display;Paid Search,7,1,12.5
81,Organic Search,1,0,0.0
82,Organic Search;Social Media;Social Media;Direct,4,0,0.0
83,Direct,1,0,0.0
84,Display;Paid Search;Paid Search,3,0,0.0
85,Direct;Display,2,0,0.0
86,Social Media;Organic Search;Direct;Organic Search,4,0,0.0
87,Email;Email;Display;Paid Search;Paid Search;Paid Search;Display;Paid Search;Email;Display,10,0,0.0
88,Direct,1,0,0.0
89,Paid Search,1,0,0.0
90,Paid Search,1,0,0.0
91,Organic Search;Paid Search,2,0,0.0
92,Paid Search;Direct;Direct,3,0,0.0
93,Display;Social Media;Social Media;Paid Search,4,0,0.0
94,Email;Direct,2,0,0.0
95,Paid Search;Email,2,0,0.0
96,Display,1,0,0.0
97,Social Media,1,0,0.0
98,Organic Search;Email;Social Media;Paid Search;Social Media;Direct,6,0,0.0
99,Display,1,0,0.0
100,Organic Search;Direct;Social Media,3,0,0.0
101,Display,1,0,0.0
102,Display,1,0,0.0
103,Paid Search;Direct;Organic Search;Email;Display;Display;Email;Direct;Social Media;Social Media,10,0,0.0
104,Direct,1,0,0.0
105,Display;Paid Search,2,0,0.0
106,Organic Search,1,0,0.0
107,Social Media,1,0,0.0
108,Direct,1,0,0.0
109,Organic Search;Social Media;Organic Search,3,0,0.0
110,Direct,1,1,23.98
111,Paid Search,1,0,0.0
112,Direct,1,0,0.0
113,Paid Search,1,0,0.0
114,Direct;Social Media,2,0,0.0
115,Social Media;Email,2,0,0.0
116,Direct,1,0,0.0
117,Direct;Organic Search,2,0,0.0
118,Organic Search;Organic Search;Email;Organic Search,4,0,0.0
119,Display,1,0,0.0
120,Direct,1,0,0.0
121,Paid Search;Email;Paid Search;Display;Social Media,5,0,0.0
122,Organic Search;Display;Paid Search,3,0,0.0
123,Organic Search;Social Media;Direct;Display;Email;Social Media,6,0,0.0
