date,geo,revenue,tv_spend,tv_impressions,tv_cpm,digital_spend,digital_impressions,digital_cpm,social_spend,social_impressions,social_cpm,search_spend,search_impressions,search_cpm,display_spend,display_impressions,display_cpm,price_index,competitor_spend
2022-01-03,northeast,872.54,238.99,9560.0,25.0,76.09,9511.0,8.0,55.11,9185.0,6.0,103.57,6905.0,15.0,0.0,0.0,4.0,100.62,169.87
2022-01-10,northeast,943.7,0.0,0.0,25.33,73.52,8627.0,8.52,29.35,4801.0,6.11,106.25,7224.0,14.71,0.0,0.0,4.01,99.59,245.44
2022-01-17,northeast,873.14,0.0,0.0,25.56,161.73,18258.0,8.86,90.39,14044.0,6.44,136.89,8773.0,15.6,31.53,7813.0,4.04,99.42,200.28
2022-01-24,northeast,884.58,108.58,3990.0,27.21,91.56,9926.0,9.22,71.14,11721.0,6.07,95.32,5528.0,17.24,61.51,14297.0,4.3,99.23,145.7
2022-01-31,northeast,979.99,130.62,4486.0,29.12,151.94,15792.0,9.62,59.33,9211.0,6.44,71.45,3877.0,18.43,0.0,0.0,4.56,98.53,331.2
2022-02-07,northeast,959.45,167.87,5732.0,29.28,120.37,12065.0,9.98,101.76,16268.0,6.26,62.44,3255.0,19.18,50.98,10734.0,4.75,98.14,162.27
2022-02-14,northeast,940.64,240.97,8265.0,29.16,140.17,13501.0,10.38,31.79,5032.0,6.32,133.53,6700.0,19.93,62.63,13348.0,4.69,97.58,342.81
2022-02-21,northeast,1004.78,0.0,0.0,30.11,104.82,9526.0,11.0,0.0,0.0,6.22,121.89,5854.0,20.82,0.0,0.0,4.73,98.46,232.2
2022-02-28,northeast,961.63,0.0,0.0,30.08,113.81,10124.0,11.24,23.0,3785.0,6.08,131.4,6073.0,21.64,0.0,0.0,4.99,98.93,173.86
2022-03-07,northeast,1044.05,0.0,0.0,31.06,103.59,8906.0,11.63,63.24,9923.0,6.37,83.53,3780.0,22.1,0.0,0.0,5.07,99.56,250.21
2022-03-14,northeast,1001.35,166.06,5261.0,31.56,67.62,5771.0,11.72,26.95,4246.0,6.35,76.4,3411.0,22.4,0.0,0.0,5.49,99.92,319.84
2022-03-21,northeast,970.36,0.0,0.0,30.38,131.42,10663.0,12.32,32.46,5023.0,6.46,64.48,2864.0,22.52,0.0,0.0,5.6,99.36,284.84
2022-03-28,northeast,1060.19,0.0,0.0,31.96,77.97,6428.0,12.13,32.34,4991.0,6.48,98.64,4461.0,22.11,0.0,0.0,5.65,99.1,296.55
2022-04-04,northeast,975.75,151.13,4474.0,33.78,46.94,3661.0,12.82,79.13,12020.0,6.58,122.95,5600.0,21.96,0.0,0.0,5.61,99.34,259.1
2022-04-11,northeast,1020.34,264.32,7981.0,33.12,122.1,9548.0,12.79,0.0,0.0,6.59,102.85,4936.0,20.84,0.0,0.0,5.62,98.73,261.52
2022-04-18,northeast,1005.4,148.44,4554.0,32.59,65.43,5364.0,12.2,73.34,11618.0,6.31,107.11,5178.0,20.69,25.57,4587.0,5.57,99.09,291.4
2022-04-25,northeast,1057.36,185.01,5669.0,32.64,157.8,12981.0,12.16,106.67,16520.0,6.46,153.44,7697.0,19.94,0.0,0.0,5.65,98.97,155.46
2022-05-02,northeast,1056.93,219.46,6725.0,32.63,159.43,13522.0,11.79,54.99,8731.0,6.3,97.02,5082.0,19.09,60.2,10452.0,5.76,98.78,205.01
2022-05-09,northeast,997.31,156.0,4748.0,32.86,154.7,12960.0,11.94,47.14,7945.0,5.93,112.6,5942.0,18.95,0.0,0.0,5.55,99.13,143.86
2022-05-16,northeast,952.71,269.72,7849.0,34.36,88.79,7704.0,11.52,98.44,17067.0,5.77,137.88,7087.0,19.45,55.29,10525.0,5.25,99.36,311.53
2022-05-23,northeast,965.03,0.0,0.0,33.57,45.87,4108.0,11.17,0.0,0.0,5.92,98.84,5033.0,19.64,0.0,0.0,4.88,99.17,302.26
2022-05-30,northeast,946.75,135.08,4208.0,32.1,156.33,15124.0,10.34,106.76,17931.0,5.95,119.09,6489.0,18.35,0.0,0.0,4.86,99.75,104.83
2022-06-06,northeast,1005.99,180.99,6012.0,30.11,95.81,9613.0,9.97,0.0,0.0,5.76,140.01,8041.0,17.41,31.73,6911.0,4.59,99.21,254.17
2022-06-13,northeast,926.61,144.26,5022.0,28.73,160.97,17808.0,9.04,0.0,0.0,5.56,145.93,8354.0,17.47,37.41,8911.0,4.2,99.52,306.33
2022-06-20,northeast,910.09,141.27,5056.0,27.94,160.6,19139.0,8.39,25.8,4814.0,5.36,70.38,4262.0,16.51,27.49,6647.0,4.14,99.82,147.19
2022-06-27,northeast,909.21,0.0,0.0,28.66,147.21,17642.0,8.34,100.42,18114.0,5.54,139.01,8720.0,15.94,0.0,0.0,4.33,99.66,237.69
2022-07-04,northeast,828.08,201.99,7375.0,27.39,79.63,9601.0,8.29,68.44,12572.0,5.44,98.31,6248.0,15.73,0.0,0.0,4.2,99.83,319.74
2022-07-11,northeast,853.74,182.0,6805.0,26.74,90.6,11120.0,8.15,109.38,20452.0,5.35,76.32,5149.0,14.82,40.75,9746.0,4.18,99.2,131.38
2022-07-18,northeast,896.24,97.63,3768.0,25.91,146.99,19160.0,7.67,28.49,5329.0,5.35,91.98,6381.0,14.41,44.45,10940.0,4.06,99.66,282.63
2022-07-25,northeast,832.67,140.11,5383.0,26.03,82.35,11089.0,7.43,70.74,13550.0,5.22,133.73,9962.0,13.42,73.81,18796.0,3.93,99.57,199.3
2022-08-01,northeast,785.78,0.0,0.0,27.23,64.51,8959.0,7.2,107.3,21359.0,5.02,91.49,7156.0,12.79,25.78,6585.0,3.91,99.31,341.08
2022-08-08,northeast,821.33,132.8,5104.0,26.02,111.37,16496.0,6.75,68.03,14033.0,4.85,76.78,6127.0,12.53,0.0,0.0,3.77,99.83,354.14
2022-08-15,northeast,834.29,115.1,4617.0,24.93,157.27,22902.0,6.87,0.0,0.0,4.7,99.72,8585.0,11.62,47.11,12757.0,3.69,99.48,349.83
2022-08-22,northeast,815.01,0.0,0.0,25.06,128.22,18663.0,6.87,83.23,18179.0,4.58,67.58,5893.0,11.47,0.0,0.0,3.63,98.78,246.74
2022-08-29,northeast,793.95,0.0,0.0,24.99,112.98,16942.0,6.67,0.0,0.0,4.57,54.06,4827.0,11.2,0.0,0.0,3.48,98.0,331.11
2022-09-05,northeast,728.44,0.0,0.0,25.9,55.76,8522.0,6.54,77.23,17202.0,4.49,57.53,5154.0,11.16,0.0,0.0,3.51,98.3,325.12
2022-09-12,northeast,731.63,213.69,8239.0,25.94,118.42,18277.0,6.48,73.42,16258.0,4.52,56.97,5152.0,11.06,72.89,21190.0,3.44,97.66,206.32
2022-09-19,northeast,818.69,230.42,9087.0,25.36,163.8,27198.0,6.02,101.3,22753.0,4.45,58.41,5130.0,11.39,0.0,0.0,3.32,98.54,314.44
2022-09-26,northeast,752.1,0.0,0.0,25.63,60.95,10270.0,5.94,26.0,5868.0,4.43,57.21,5042.0,11.35,0.0,0.0,3.35,97.5,135.58
2022-10-03,northeast,754.18,224.18,8482.0,26.43,106.72,18397.0,5.8,0.0,0.0,4.16,94.69,8473.0,11.17,72.31,22209.0,3.26,98.35,253.67
2022-10-10,northeast,823.74,156.78,5774.0,27.15,150.16,26612.0,5.64,105.64,24629.0,4.29,60.43,5375.0,11.24,0.0,0.0,3.27,98.45,168.15
2022-10-17,northeast,795.68,206.24,7427.0,27.77,133.63,23711.0,5.64,0.0,0.0,4.37,72.98,6340.0,11.51,25.73,7822.0,3.29,98.4,139.44
2022-10-24,northeast,801.54,206.47,7117.0,29.01,128.34,21324.0,6.02,62.1,13644.0,4.55,115.14,9871.0,11.66,0.0,0.0,3.44,98.13,125.8
2022-10-31,northeast,850.04,0.0,0.0,30.53,129.0,20691.0,6.23,76.57,18059.0,4.24,83.86,7067.0,11.87,0.0,0.0,3.54,98.33,258.85
2022-11-07,northeast,761.13,0.0,0.0,38.6,107.26,14432.0,7.43,0.0,0.0,5.47,99.7,7075.0,14.09,42.16,9816.0,4.29,98.31,178.3
2022-11-14,northeast,891.35,244.2,6085.0,40.13,93.39,12112.0,7.71,0.0,0.0,5.56,62.29,4422.0,14.09,0.0,0.0,4.49,98.86,262.03
2022-11-21,northeast,889.1,147.99,3626.0,40.82,171.28,20840.0,8.22,0.0,0.0,5.87,64.77,4691.0,13.81,0.0,0.0,4.78,98.92,117.28
2022-11-28,northeast,907.23,122.88,2927.0,41.99,188.52,21783.0,8.65,53.09,9105.0,5.83,53.6,3597.0,14.9,0.0,0.0,4.98,99.0,173.85
2022-12-05,northeast,959.49,95.62,2142.0,44.65,164.45,18494.0,8.89,73.36,12043.0,6.09,65.0,4415.0,14.72,0.0,0.0,5.11,98.81,225.96
2022-12-12,northeast,931.07,198.5,4438.0,44.73,175.33,19583.0,8.95,0.0,0.0,6.06,75.29,5086.0,14.8,23.35,4629.0,5.04,98.79,285.07
2022-12-19,northeast,959.72,214.7,4622.0,46.45,117.92,12557.0,9.39,107.75,17638.0,6.11,68.04,4572.0,14.88,0.0,0.0,5.02,98.94,185.92
2022-12-26,northeast,982.8,91.1,1932.0,47.16,116.43,11928.0,9.76,0.0,0.0,6.65,61.67,3927.0,15.7,67.25,13166.0,5.11,98.08,258.77
2023-01-02,northeast,851.58,0.0,0.0,42.15,140.59,15702.0,8.95,0.0,0.0,5.9,65.62,4721.0,13.9,0.0,0.0,4.48,97.41,321.58
2023-01-09,northeast,867.9,0.0,0.0,45.12,122.65,13046.0,9.4,69.18,11307.0,6.12,97.28,6545.0,14.86,72.21,15739.0,4.59,97.78,267.74
2023-01-16,northeast,880.27,208.65,4469.0,46.68,128.94,12918.0,9.98,0.0,0.0,6.46,75.78,5057.0,14.99,69.13,14621.0,4.73,97.87,188.78
2023-01-23,northeast,864.06,0.0,0.0,48.02,140.29,13904.0,10.09,0.0,0.0,6.74,91.69,5906.0,15.52,47.89,9705.0,4.93,97.78,147.58
2023-01-30,northeast,999.46,217.21,4595.0,47.27,151.69,14095.0,10.76,82.26,11856.0,6.94,106.22,6843.0,15.52,0.0,0.0,5.05,97.78,337.47
2023-02-06,northeast,914.57,160.32,3242.0,49.45,84.9,7665.0,11.08,0.0,0.0,7.18,125.62,7417.0,16.94,0.0,0.0,5.24,97.96,153.51
2023-02-13,northeast,941.48,263.17,5113.0,51.47,89.45,7433.0,12.03,102.16,12975.0,7.87,64.27,3852.0,16.68,0.0,0.0,5.36,97.69,342.86
2023-02-20,northeast,957.01,113.72,2033.0,55.93,55.37,4613.0,12.0,0.0,0.0,8.0,139.42,8130.0,17.15,36.78,7149.0,5.14,97.3,267.11
2023-02-27,northeast,988.35,151.78,2697.0,56.28,113.97,8874.0,12.84,105.58,12909.0,8.18,123.87,6978.0,17.75,65.07,12809.0,5.08,97.4,356.39
2023-03-06,northeast,1001.89,109.22,1903.0,57.39,48.35,3695.0,13.09,0.0,0.0,8.55,70.46,3870.0,18.21,16.78,3275.0,5.12,96.91,323.38
2023-03-13,northeast,1009.83,0.0,0.0,58.4,100.34,7740.0,12.96,75.98,8510.0,8.93,150.37,8222.0,18.29,0.0,0.0,4.99,97.11,364.0
2023-03-20,northeast,986.0,252.06,4087.0,61.68,109.66,8521.0,12.87,58.81,6310.0,9.32,155.85,8493.0,18.35,40.59,7929.0,5.12,96.26,217.56
2023-03-27,northeast,986.43,136.24,2205.0,61.77,78.67,6145.0,12.8,0.0,0.0,9.54,69.37,3759.0,18.45,49.01,9105.0,5.38,96.78,304.55
2023-04-03,northeast,1014.13,211.42,3389.0,62.38,115.49,8894.0,12.99,98.21,10638.0,9.23,91.27,4960.0,18.4,0.0,0.0,5.59,97.01,219.25
2023-04-10,northeast,989.6,240.82,3796.0,63.44,47.69,3621.0,13.17,25.98,2683.0,9.68,144.7,7651.0,18.91,0.0,0.0,5.55,97.14,231.45
2023-04-17,northeast,1045.52,0.0,0.0,63.52,48.52,3764.0,12.89,0.0,0.0,9.31,138.45,6881.0,20.12,37.49,6490.0,5.78,97.63,259.29
2023-04-24,northeast,1001.73,187.04,3006.0,62.22,143.53,11224.0,12.79,0.0,0.0,9.33,81.23,4135.0,19.64,61.12,10610.0,5.76,98.46,309.41
2023-05-01,northeast,1003.26,0.0,0.0,61.95,87.58,6488.0,13.5,93.33,10335.0,9.03,83.17,4456.0,18.66,43.86,7769.0,5.65,98.97,330.5
2023-05-08,northeast,995.23,0.0,0.0,63.16,59.37,4230.0,14.04,108.88,12236.0,8.9,98.42,5355.0,18.38,0.0,0.0,5.47,98.05,280.88
2023-05-15,northeast,1014.14,255.78,4242.0,60.3,107.19,7656.0,14.0,35.24,3983.0,8.85,108.6,5555.0,19.55,43.87,8219.0,5.34,97.41,202.82
2023-05-22,northeast,970.68,256.38,4312.0,59.46,137.17,9965.0,13.77,74.28,8468.0,8.77,120.29,6419.0,18.74,0.0,0.0,5.18,97.1,203.93
2023-05-29,northeast,894.6,0.0,0.0,57.03,70.11,5181.0,13.53,55.52,6379.0,8.7,94.92,4922.0,19.28,0.0,0.0,5.1,97.11,275.09
2023-06-05,northeast,953.21,0.0,0.0,57.78,119.37,8860.0,13.47,107.35,12024.0,8.93,102.37,5165.0,19.82,0.0,0.0,5.01,97.37,168.13
2023-06-12,northeast,902.76,0.0,0.0,53.84,54.33,4263.0,12.74,0.0,0.0,8.83,127.2,6690.0,19.01,41.84,8562.0,4.89,97.01,143.74
2023-06-19,northeast,885.03,0.0,0.0,51.54,50.25,4082.0,12.31,0.0,0.0,8.53,60.32,3204.0,18.83,71.85,14904.0,4.82,97.1,202.14
2023-06-26,northeast,911.47,255.76,5048.0,50.66,108.29,9515.0,11.38,0.0,0.0,8.54,78.61,4091.0,19.22,38.42,7913.0,4.86,96.72,192.6
2023-07-03,northeast,920.78,253.89,4925.0,51.55,109.42,9785.0,11.18,58.5,6813.0,8.59,117.77,6386.0,18.44,0.0,0.0,4.85,96.42,200.18
2023-07-10,northeast,873.42,233.84,4687.0,49.9,121.13,10955.0,11.06,46.06,5738.0,8.03,131.36,7388.0,17.78,54.75,12169.0,4.5,95.71,191.97
2023-07-17,northeast,863.78,0.0,0.0,47.57,131.86,12481.0,10.56,26.96,3403.0,7.92,96.44,5694.0,16.94,0.0,0.0,4.04,95.25,155.12
2023-07-24,northeast,907.99,0.0,0.0,48.79,162.08,15097.0,10.74,98.1,12509.0,7.84,96.41,6054.0,15.93,56.64,14065.0,4.03,94.58,154.47
2023-07-31,northeast,815.13,118.22,2610.0,45.3,106.47,10610.0,10.04,93.54,12409.0,7.54,59.94,3957.0,15.15,0.0,0.0,3.75,94.09,371.68
2023-08-07,northeast,888.23,256.03,6219.0,41.17,83.08,8911.0,9.32,0.0,0.0,7.63,86.33,6091.0,14.17,0.0,0.0,3.61,94.62,251.27
2023-08-14,northeast,818.81,201.4,4965.0,40.56,140.22,15364.0,9.13,109.7,14863.0,7.38,91.74,6650.0,13.79,0.0,0.0,3.39,94.14,243.3
2023-08-21,northeast,715.53,89.72,2304.0,38.93,76.77,8366.0,9.18,70.88,9818.0,7.22,67.77,5159.0,13.13,0.0,0.0,3.13,95.46,308.6
2023-08-28,northeast,805.76,0.0,0.0,36.89,97.12,10297.0,9.43,89.67,12778.0,7.02,68.98,5337.0,12.92,21.66,6964.0,3.11,95.7,206.14
2023-09-04,northeast,768.6,0.0,0.0,36.95,53.49,5866.0,9.12,0.0,0.0,6.88,76.49,6325.0,12.09,76.81,24620.0,3.12,95.8,364.97
2023-09-11,northeast,791.39,0.0,0.0,36.62,47.07,5078.0,9.27,96.77,14765.0,6.55,48.8,4061.0,12.02,0.0,0.0,3.02,95.37,325.78
2023-09-18,northeast,794.46,118.07,3318.0,35.59,160.48,17539.0,9.15,43.77,7055.0,6.2,71.2,5847.0,12.18,52.52,19035.0,2.76,95.72,168.41
2023-09-25,northeast,752.33,190.61,5606.0,34.0,145.15,16061.0,9.04,61.65,9542.0,6.46,62.65,5501.0,11.39,0.0,0.0,2.69,95.43,235.97
2023-10-02,northeast,709.45,0.0,0.0,34.82,128.21,13849.0,9.26,33.37,5310.0,6.28,71.25,6201.0,11.49,61.87,22746.0,2.72,95.49,332.56
2023-10-09,northeast,741.97,0.0,0.0,35.59,93.48,9878.0,9.46,105.96,17331.0,6.11,55.78,4668.0,11.95,29.2,11194.0,2.61,96.77,342.05
2023-10-16,northeast,735.22,129.94,3636.0,35.74,64.97,7146.0,9.09,0.0,0.0,5.77,113.94,9817.0,11.61,70.83,26813.0,2.64,96.72,232.4
2023-10-23,northeast,734.52,0.0,0.0,38.23,62.93,6544.0,9.62,42.12,7350.0,5.73,92.2,7466.0,12.35,0.0,0.0,2.67,97.3,260.48
2023-10-30,northeast,799.06,132.37,3519.0,37.62,74.28,7293.0,10.18,81.11,14493.0,5.6,99.52,7831.0,12.71,28.04,10148.0,2.76,96.95,159.08
2023-11-06,northeast,824.62,0.0,0.0,43.58,149.85,12362.0,12.12,76.4,10715.0,7.13,109.08,7230.0,15.09,18.71,5565.0,3.36,96.93,338.24
2023-11-13,northeast,883.84,227.59,5229.0,43.52,171.05,13675.0,12.51,0.0,0.0,7.49,87.76,5714.0,15.36,0.0,0.0,3.33,97.81,170.21
2023-11-20,northeast,823.03,209.48,4715.0,44.43,153.9,11860.0,12.98,31.99,4264.0,7.5,56.42,3534.0,15.97,0.0,0.0,3.53,97.5,326.96
2023-11-27,northeast,902.72,246.8,5385.0,45.83,87.94,6566.0,13.39,81.1,9864.0,8.22,93.55,5708.0,16.39,20.48,5694.0,3.6,98.41,264.07
2023-12-04,northeast,947.97,210.97,4521.0,46.67,199.02,14729.0,13.51,0.0,0.0,8.68,99.21,5808.0,17.08,63.42,17208.0,3.69,98.76,257.64
2023-12-11,northeast,899.8,194.27,4012.0,48.42,165.55,12176.0,13.6,0.0,0.0,8.83,114.18,6693.0,17.06,43.92,11939.0,3.68,98.48,240.56
2023-12-18,northeast,932.27,105.52,2203.0,47.9,127.96,9170.0,13.95,0.0,0.0,8.41,89.65,5090.0,17.61,48.23,12932.0,3.73,98.79,183.2
2023-12-25,northeast,950.84,156.76,3051.0,51.39,145.18,9778.0,14.85,0.0,0.0,9.26,65.03,3750.0,17.34,43.17,11572.0,3.73,99.28,176.57
2022-01-03,southeast,729.01,0.0,0.0,25.0,104.32,13040.0,8.0,67.34,11224.0,6.0,91.62,6108.0,15.0,0.0,0.0,4.0,99.2,175.3
